GCS_USER_DEFINE,-1
GCS_AIRY_1830,4001
GCS_AIRY_MOD,4002
GCS_AUSTRALIAN,4003
GCS_BESSEL_1841,4004
GCS_BESSEL_MOD,4005
GCS_BESSEL_NAMIBIA,4006
GCS_CLARKE_1858,4007
GCS_CLARKE_1866,4008
GCS_CLARKE_1866_MICH,4009
GCS_CLARKE_1880_BENOIT,4010
GCS_CLARKE_1880_IGN,4011
GCS_CLARKE_1880_RGS,4012
GCS_CLARKE_1880_ARC,4013
GCS_CLARKE_1880_SGA,4014
GCS_EVEREST_1830,4015
GCS_EVEREST_DEF_1967,4016
GCS_EVEREST_DEF_1975,4017
GCS_EVEREST_MOD,4018
GCS_GRS_1980,4019
GCS_HELMERT_1906,4020
GCS_INDONESIAN,4021
GCS_INTERNATIONAL_1924,4022
GCS_INTERNATIONAL_1967,4023
GCS_KRASOVSKY_1940,4024
GCS_NWL_9D,4025
GCS_PLESSIS_1817,4027
GCS_STRUVE_1860,4028
GCS_WAR_OFFICE,4029
GCS_GEM_10C,4031
GCS_OSU_86F,4032
GCS_OSU_91A,4033
GCS_CLARKE_1880,4034
GCS_SPHERE,4035
GCS_GRS_1967,4036
GCS_WGS_1966,37001
GCS_FISCHER_1960,37002
GCS_FISCHER_1968,37003
GCS_FISCHER_MOD,37004
GCS_HOUGH_1960,37005
GCS_EVEREST_MOD_1969,37006
GCS_WALBECK,37007
GCS_SPHERE_AI,37008
GCS_GREEK,4120
GCS_GGRS_1987,4121
GCS_ATS_1977,4122
GCS_KKJ,4123
GCS_PULKOVO_1995,4200
GCS_ADINDAN,4201
GCS_AGD_1966,4202
GCS_AGD_1984,4203
GCS_AIN_EL_ABD_1970,4204
GCS_AFGOOYE,4205
GCS_AGADEZ,4206
GCS_LISBON,4207
GCS_ARATU,4208
GCS_ARC_1950,4209
GCS_ARC_1960,4210
GCS_BATAVIA,4211
GCS_BARBADOS,4212
GCS_BEDUARAM,4213
GCS_BEIJING_1954,4214
GCS_BELGE_1950,4215
GCS_BERMUDA_1957,4216
GCS_BERN_1898,4217
GCS_BOGOTA,4218
